sample_id,site_id,site_name,location_id,matrix,latitude,longitude,collection_date,analysis_date,analyte,analytical_method,analyte_category,result_value,result_unit,detection_limit,qualifier,regulatory_mcl,lab_name,validator_initials,flag_missing_field,flag_duplicate_id,flag_impossible_value,holding_time_days,flag_holding_time_violation,flag_regulatory_exceedance,overall_qaqc_status,regulatory_status
MW-05-03-20230410-00727,SITE-05,Chemical Plant - Linden,MW-05-03,GW,40.620171,-74.237532,2023-04-10,2023-08-11,Arsenic,EPA 6020,METAL,1.664,ug/L,0.5,,10.0,Eurofins TestAmerica,RS,False,True,False,123.0,False,False,FAIL,WITHIN_LIMIT
MW-01-01-20250206-00728,SITE-01,Former Dry Cleaner - Newark,MW-01-01,GW,40.734478,-74.165228,2025-02-06,2025-02-14,Trichloroethylene,EPA 8260,VOC,3.084,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20230516-00729,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2023-05-16,2023-07-10,Cadmium,EPA 6020,METAL,7.867,ug/L,0.25,,5.0,Pace Analytical,RS,False,False,False,55.0,False,True,PASS,EXCEEDANCE
MW-03-01-20231026-00730,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2023-10-26,2023-11-04,"1,1-Dichloroethylene",EPA 8260,VOC,0.348,ug/L,0.35,,7.0,Pace Analytical,TL,False,False,False,9.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20230803-00731,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2023-08-03,2023-08-04,Nitrate,EPA 300.0,WET_CHEM,3.243,mg/L,0.5,,10.0,Pace Analytical,TL,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-03-04-20240819-00732,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2024-08-19,2024-08-31,Trichloroethylene,EPA 8260,VOC,12.261,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,12.0,False,True,PASS,EXCEEDANCE
MW-03-03-20240802-00733,SITE-03,Former Gas Station - Paterson,MW-03-03,GW,40.909398,-74.172286,2024-08-02,2024-08-03,Nitrate,EPA 300.0,WET_CHEM,13.483,mg/L,0.5,,10.0,Pace Analytical,KP,False,False,False,1.0,False,True,PASS,EXCEEDANCE
SB-04-08-20230413-00734,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2023-04-13,2023-04-23,Tetrachloroethylene,EPA 8260,VOC,1.276,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,10.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20230408-00735,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2023-04-08,2023-04-10,Cadmium,EPA 6020,METAL,0.741,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,2.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20241202-00736,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2024-12-02,2024-12-29,Trichloroethylene,EPA 8260,VOC,2.881,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,27.0,True,False,FAIL,WITHIN_LIMIT
MW-01-05-20231229-00737,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2023-12-29,2024-05-31,Lead,EPA 6020,METAL,7.393,ug/L,0.75,,15.0,Pace Analytical,TL,False,False,False,154.0,False,False,PASS,WITHIN_LIMIT
SB-04-01-20240414-00738,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2024-04-14,2024-05-11,Mercury,EPA 7470,METAL,0.18,ug/L,0.1,,2.0,Pace Analytical,RS,False,False,False,27.0,False,False,PASS,WITHIN_LIMIT
MW-03-02-20230929-00739,SITE-03,Former Gas Station - Paterson,MW-03-02,GW,40.916191,-74.178011,2023-09-29,2023-09-30,Nitrate,EPA 300.0,WET_CHEM,1.241,mg/L,0.5,,10.0,Pace Analytical,TL,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
SB-04-08-20250213-00740,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2025-02-13,2025-02-13,pH,EPA 9040,FIELD,5.86,SU,0.01,,,Eurofins TestAmerica,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-04-04-20230802-00741,SITE-04,Rail Yard - Kearny,SB-04-04,SOIL,40.774138,-74.142103,2023-08-02,2023-08-03,Nitrate,EPA 300.0,WET_CHEM,1.962,mg/L,0.5,,10.0,ALS Environmental,TL,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-03-04-20240403-00742,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2024-04-03,2024-04-06,Arsenic,EPA 6020,METAL,11.263,ug/L,0.5,,10.0,Eurofins TestAmerica,JM,False,False,False,3.0,False,True,PASS,EXCEEDANCE
SB-02-08-20230214-00743,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2023-02-14,2023-02-22,pH,EPA 9040,FIELD,5.88,SU,0.01,,,ALS Environmental,JM,False,False,False,8.0,True,False,FAIL,WITHIN_LIMIT
SB-02-08-20230908-00744,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2023-09-08,2023-10-15,Arsenic,EPA 6020,METAL,4.703,ug/L,0.5,,10.0,Pace Analytical,JM,False,False,False,37.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20240914-00745,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2024-09-14,2025-03-22,Lead,EPA 6020,METAL,3.357,ug/L,0.75,,15.0,ALS Environmental,TL,False,False,False,189.0,True,False,FAIL,WITHIN_LIMIT
,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2024-10-21,2025-04-26,Arsenic,EPA 6020,METAL,48.049,ug/L,0.5,,10.0,ALS Environmental,JM,True,False,False,187.0,True,True,FAIL,EXCEEDANCE
SB-02-05-20250111-00747,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2025-01-11,2025-01-12,Nitrate,EPA 300.0,WET_CHEM,3.223,mg/L,0.5,,10.0,Eurofins TestAmerica,RS,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-03-07-20240608-00748,SITE-03,Former Gas Station - Paterson,MW-03-07,GW,40.923445,-74.165705,2024-06-08,2024-06-08,pH,EPA 9040,FIELD,22.0,SU,0.01,,,ALS Environmental,RS,False,False,True,0.0,False,False,FAIL,WITHIN_LIMIT
SB-02-08-20250212-00749,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2025-02-12,2025-04-08,Lead,EPA 6020,METAL,2.202,ug/L,0.75,,15.0,ALS Environmental,RS,False,False,False,55.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20240909-00750,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2024-09-09,2025-02-26,Cadmium,EPA 6020,METAL,44.421,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,170.0,False,True,PASS,EXCEEDANCE
SB-04-08-20240405-00751,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2024-04-05,2024-04-06,,EPA 8260,VOC,6.384,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,True,False,False,1.0,False,True,FAIL,EXCEEDANCE
MW-03-04-20241026-00752,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2024-10-26,2024-10-26,pH,EPA 9040,FIELD,8.41,SU,0.01,,,Pace Analytical,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-02-20230615-00753,SITE-03,Former Gas Station - Paterson,MW-03-02,GW,40.916191,-74.178011,2023-06-15,2023-06-15,Tetrachloroethylene,EPA 8260,VOC,4.269,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20240816-00754,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-08-16,2024-08-26,"1,1-Dichloroethylene",EPA 8260,VOC,8.739,ug/L,0.35,,7.0,Pace Analytical,RS,False,False,False,10.0,False,True,PASS,EXCEEDANCE
MW-01-05-20250605-00755,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2025-06-05,2025-06-11,Trichloroethylene,EPA 8260,VOC,2.901,ug/L,0.25,,5.0,Pace Analytical,TL,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20230919-00756,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2023-09-19,2023-12-13,Arsenic,EPA 6020,METAL,1.537,ug/L,0.5,,10.0,Eurofins TestAmerica,KP,False,False,False,85.0,False,False,PASS,WITHIN_LIMIT
SB-02-03-20250505-00757,SITE-02,Industrial Park - Elizabeth,SB-02-03,SOIL,40.655176,-74.204147,2025-05-05,2025-10-17,Chromium,EPA 6020,METAL,18.686,ug/L,5.0,,100.0,ALS Environmental,KP,False,False,False,165.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20231029-00758,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2023-10-29,2023-10-29,Nitrate,EPA 300.0,WET_CHEM,1.342,mg/L,0.5,,10.0,Pace Analytical,RS,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20230905-00759,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2023-09-05,2024-02-24,Arsenic,EPA 6020,METAL,2.069,ug/L,0.5,,10.0,Pace Analytical,JM,False,False,False,172.0,False,False,PASS,WITHIN_LIMIT
SB-02-01-20230721-00760,SITE-02,Industrial Park - Elizabeth,SB-02-01,SOIL,40.670355,-74.211832,2023-07-21,2023-07-21,pH,EPA 9040,FIELD,7.29,SU,0.01,,,Pace Analytical,KP,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-01-02-20230906-00761,SITE-01,Former Dry Cleaner - Newark,MW-01-02,GW,40.739647,-74.180516,2023-09-06,2023-09-15,"1,1-Dichloroethylene",EPA 8260,VOC,0.651,ug/L,0.35,,7.0,ALS Environmental,TL,False,False,False,9.0,False,False,PASS,WITHIN_LIMIT
MW-03-03-20250208-00762,SITE-03,Former Gas Station - Paterson,MW-03-03,GW,40.909398,-74.172286,2025-02-08,2025-02-14,Tetrachloroethylene,EPA 8260,VOC,0.625,ug/L,0.25,,5.0,Pace Analytical,TL,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
MW-05-02-20250314-00763,SITE-05,Chemical Plant - Linden,MW-05-02,GW,40.620734,-74.250308,2025-03-14,2025-03-27,"1,1-Dichloroethylene",EPA 8260,VOC,1.441,ug/L,0.35,,7.0,Eurofins TestAmerica,TL,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
MW-05-03-20240219-00764,SITE-05,Chemical Plant - Linden,MW-05-03,GW,40.620171,-74.237532,2024-02-19,2024-02-25,"1,1-Dichloroethylene",EPA 8260,VOC,1.703,ug/L,0.35,,7.0,Eurofins TestAmerica,TL,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20250308-00765,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2025-03-08,2025-03-17,"1,1-Dichloroethylene",EPA 8260,VOC,0.073,ug/L,0.35,U,7.0,Pace Analytical,JM,False,False,False,9.0,False,False,PASS,WITHIN_LIMIT
SB-04-04-20230510-00766,SITE-04,Rail Yard - Kearny,SB-04-04,SOIL,40.774138,-74.142103,2023-05-10,2023-07-22,Cadmium,EPA 6020,METAL,1.312,ug/L,0.25,,5.0,Pace Analytical,RS,False,False,False,73.0,False,False,PASS,WITHIN_LIMIT
MW-05-04-20230212-00767,SITE-05,Chemical Plant - Linden,MW-05-04,GW,40.616679,-74.253434,2023-02-12,2023-02-12,pH,EPA 9040,FIELD,7.25,SU,0.01,,,ALS Environmental,KP,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-03-20250219-00768,SITE-03,Former Gas Station - Paterson,MW-03-03,GW,40.909398,-74.172286,2025-02-19,2025-02-19,Lead,EPA 6020,METAL,3.272,ug/L,0.75,,15.0,Eurofins TestAmerica,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20231231-00769,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2023-12-31,2024-03-15,Lead,EPA 6020,METAL,-2.362,ug/L,0.75,,15.0,Eurofins TestAmerica,TL,False,False,True,75.0,False,False,FAIL,WITHIN_LIMIT
SB-04-08-20250609-00770,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2025-06-09,2025-10-24,Lead,EPA 6020,METAL,0.603,ug/L,0.75,U,15.0,Eurofins TestAmerica,TL,False,False,False,137.0,False,False,PASS,WITHIN_LIMIT
MW-03-04-20240407-01879,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2024-01-25,2024-02-07,Arsenic,EPA 6020,METAL,4.476,ug/L,0.5,,10.0,Eurofins TestAmerica,KP,False,True,False,13.0,False,False,FAIL,WITHIN_LIMIT
SB-04-02-20250331-00772,SITE-04,Rail Yard - Kearny,SB-04-02,SOIL,40.77205,-74.152605,2025-03-31,2025-04-11,Lead,EPA 6020,METAL,2.657,ug/L,0.75,,15.0,Pace Analytical,JM,False,False,False,11.0,False,False,PASS,WITHIN_LIMIT
MW-03-05-20230516-00773,SITE-03,Former Gas Station - Paterson,MW-03-05,GW,40.915543,-74.165146,2023-05-16,2023-05-18,"1,1-Dichloroethylene",EPA 8260,VOC,1.286,ug/L,0.35,,7.0,Eurofins TestAmerica,TL,False,False,False,2.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20231103-00774,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2023-11-03,2023-11-10,Mercury,EPA 7470,METAL,1.092,ug/L,0.1,,2.0,Pace Analytical,JM,False,False,False,7.0,False,False,PASS,WITHIN_LIMIT
SB-02-07-20250414-00775,SITE-02,Industrial Park - Elizabeth,SB-02-07,SOIL,40.657793,-74.211366,2025-04-14,2025-04-22,"1,1-Dichloroethylene",EPA 8260,VOC,14.655,ug/L,0.35,,7.0,Pace Analytical,TL,False,False,False,8.0,False,True,PASS,EXCEEDANCE
SB-04-04-20230215-00776,SITE-04,Rail Yard - Kearny,SB-04-04,SOIL,40.774138,-74.142103,2023-02-15,2023-02-19,Tetrachloroethylene,EPA 8260,VOC,0.338,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,4.0,False,False,PASS,WITHIN_LIMIT
SB-04-08-20230918-00777,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2023-09-18,2023-10-07,"1,1-Dichloroethylene",EPA 8260,VOC,1.296,ug/L,0.35,,7.0,Pace Analytical,KP,False,False,False,19.0,True,False,FAIL,WITHIN_LIMIT
MW-05-02-20230411-00778,SITE-05,Chemical Plant - Linden,MW-05-02,GW,40.620734,-74.250308,2023-04-11,2023-04-11,pH,EPA 9040,FIELD,6.04,SU,0.01,,,Eurofins TestAmerica,JM,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-04-20250421-00779,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2025-04-21,2025-05-04,Mercury,EPA 7470,METAL,6.239,ug/L,0.1,,2.0,Eurofins TestAmerica,TL,False,False,False,13.0,False,True,PASS,EXCEEDANCE
MW-05-04-20240402-00780,SITE-05,Chemical Plant - Linden,MW-05-04,GW,40.616679,-74.253434,2024-04-02,2024-04-08,Vinyl Chloride,EPA 8260,VOC,0.263,ug/L,0.1,,2.0,ALS Environmental,RS,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
SB-02-05-20240823-00781,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2024-08-23,2025-01-02,Arsenic,EPA 6020,METAL,6.865,ug/L,0.5,,10.0,Pace Analytical,KP,False,False,False,132.0,False,False,PASS,WITHIN_LIMIT
MW-03-01-20230105-00782,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2023-01-05,2023-06-24,Chromium,EPA 6020,METAL,12.918,ug/L,5.0,,100.0,Pace Analytical,KP,False,False,False,170.0,False,False,PASS,WITHIN_LIMIT
MW-01-04-20230909-00783,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2023-09-09,2023-09-24,Mercury,EPA 7470,METAL,22.41,ug/L,0.1,,2.0,Pace Analytical,JM,False,False,False,15.0,False,True,PASS,EXCEEDANCE
SB-04-01-20250530-00784,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2025-05-30,2025-06-01,"1,1-Dichloroethylene",EPA 8260,VOC,2.675,ug/L,0.35,,7.0,Pace Analytical,JM,False,False,False,2.0,False,False,PASS,WITHIN_LIMIT
SB-04-05-20240323-00785,SITE-04,Rail Yard - Kearny,SB-04-05,SOIL,40.772503,-74.139785,2024-03-23,2024-10-04,Lead,EPA 6020,METAL,82.506,ug/L,0.75,,15.0,Pace Analytical,JM,False,False,False,195.0,True,True,FAIL,EXCEEDANCE
SB-02-01-20230620-00786,SITE-02,Industrial Park - Elizabeth,SB-02-01,SOIL,40.670355,-74.211832,2023-06-20,2023-06-21,pH,EPA 9040,FIELD,7.08,SU,0.01,,,ALS Environmental,RS,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-02-20230710-00787,SITE-03,Former Gas Station - Paterson,MW-03-02,GW,40.916191,-74.178011,2023-07-10,2023-07-31,Trichloroethylene,EPA 8260,VOC,10.337,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,21.0,True,True,FAIL,EXCEEDANCE
MW-03-01-20240625-00788,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2024-06-25,2024-09-06,Cadmium,EPA 6020,METAL,1.021,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,False,False,False,73.0,False,False,PASS,WITHIN_LIMIT
MW-03-05-20250506-00789,SITE-03,Former Gas Station - Paterson,MW-03-05,GW,40.915543,-74.165146,2025-05-06,2025-05-06,"1,1-Dichloroethylene",EPA 8260,VOC,1.051,ug/L,0.35,,7.0,Pace Analytical,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-06-20240518-00790,SITE-03,Former Gas Station - Paterson,MW-03-06,GW,40.920805,-74.175553,2024-05-18,2024-05-18,Nitrate,EPA 300.0,WET_CHEM,7.224,mg/L,0.5,,10.0,Pace Analytical,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-01-20240102-00791,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2024-01-02,2024-01-15,Vinyl Chloride,EPA 8260,VOC,1.691,ug/L,0.1,,2.0,Eurofins TestAmerica,JM,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
SB-04-01-20230930-00792,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2023-09-30,2023-10-08,Trichloroethylene,EPA 8260,VOC,1.24,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20230110-00793,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2023-01-10,2023-01-21,"1,1-Dichloroethylene",EPA 8260,VOC,11.06,ug/L,0.35,,7.0,Pace Analytical,RS,False,False,False,11.0,False,True,PASS,EXCEEDANCE
SB-02-05-20240126-00794,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2024-01-26,2024-01-27,Cadmium,EPA 6020,METAL,0.984,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20241207-00795,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2024-12-07,2025-02-11,Cadmium,EPA 6020,METAL,5.503,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,66.0,False,True,PASS,EXCEEDANCE
MW-01-04-20250515-00796,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2025-05-15,2025-05-24,Trichloroethylene,EPA 8260,VOC,0.418,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,False,False,False,9.0,False,False,PASS,WITHIN_LIMIT
MW-03-05-20250318-00797,SITE-03,Former Gas Station - Paterson,MW-03-05,GW,40.915543,-74.165146,2025-03-18,2025-03-31,Trichloroethylene,EPA 8260,VOC,1.846,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
SB-02-06-20230805-00798,SITE-02,Industrial Park - Elizabeth,SB-02-06,SOIL,40.671762,-74.205132,2023-08-05,2023-08-17,"1,1-Dichloroethylene",EPA 8260,VOC,0.514,ug/L,0.35,,7.0,Eurofins TestAmerica,RS,False,False,False,12.0,False,False,PASS,WITHIN_LIMIT
SB-04-05-20240616-00799,SITE-04,Rail Yard - Kearny,SB-04-05,SOIL,40.772503,-74.139785,2024-06-16,2024-06-20,Tetrachloroethylene,EPA 8260,VOC,1.021,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,4.0,False,False,PASS,WITHIN_LIMIT
SB-02-09-20231128-00800,SITE-02,Industrial Park - Elizabeth,SB-02-09,SOIL,40.667561,-74.205805,2023-11-28,2023-11-29,Nitrate,EPA 300.0,WET_CHEM,5.042,mg/L,0.5,,10.0,Eurofins TestAmerica,RS,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20250209-00801,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2025-02-09,2025-02-10,Trichloroethylene,EPA 8260,VOC,1.5,ug/L,0.25,,5.0,ALS Environmental,KP,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
SB-02-03-20230913-00802,SITE-02,Industrial Park - Elizabeth,SB-02-03,SOIL,40.655176,-74.204147,2023-09-13,2023-09-14,pH,EPA 9040,FIELD,7.57,SU,0.01,,,Pace Analytical,JM,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-04-20230721-00803,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2023-07-21,2023-07-29,Benzene,EPA 8260,VOC,2.996,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
SB-02-05-20230613-00804,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2023-06-13,2023-06-13,Nitrate,EPA 300.0,WET_CHEM,8.277,mg/L,0.5,,10.0,ALS Environmental,RS,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-01-05-20240913-00805,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2024-09-13,2024-09-24,Tetrachloroethylene,EPA 8260,VOC,0.581,ug/L,0.25,,5.0,Pace Analytical,TL,False,False,False,11.0,False,False,PASS,WITHIN_LIMIT
MW-05-04-20231023-00806,SITE-05,Chemical Plant - Linden,MW-05-04,GW,40.616679,-74.253434,2023-10-23,2023-10-23,Nitrate,EPA 300.0,WET_CHEM,8.522,mg/L,0.5,,10.0,ALS Environmental,JM,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-01-20231221-00807,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2023-12-21,2023-12-22,pH,EPA 9040,FIELD,6.99,SU,0.01,,,Pace Analytical,RS,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-04-20231107-00808,SITE-03,Former Gas Station - Paterson,,GW,40.911338,-74.168404,2023-11-07,2023-11-16,Tetrachloroethylene,EPA 8260,VOC,2.36,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,True,False,False,9.0,False,False,FAIL,WITHIN_LIMIT
SB-04-07-20240727-00809,SITE-04,Rail Yard - Kearny,SB-04-07,SOIL,40.761196,-74.153109,2024-07-27,2024-07-27,Nitrate,EPA 300.0,WET_CHEM,3.922,mg/L,0.5,,10.0,Pace Analytical,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-02-08-20241021-00810,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2024-10-21,2024-10-22,Nitrate,EPA 300.0,WET_CHEM,9.854,mg/L,0.5,,10.0,Pace Analytical,JM,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
SB-04-01-20250615-00811,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2025-06-15,2025-09-22,Chromium,EPA 6020,METAL,76.985,ug/L,5.0,,100.0,ALS Environmental,TL,False,False,False,99.0,False,False,PASS,WITHIN_LIMIT
SB-04-03-20240921-00812,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2024-09-21,2024-11-11,Chromium,EPA 6020,METAL,29.419,ug/L,5.0,,100.0,ALS Environmental,RS,False,False,False,51.0,False,False,PASS,WITHIN_LIMIT
SB-02-03-20230804-00813,SITE-02,Industrial Park - Elizabeth,SB-02-03,SOIL,40.655176,-74.204147,2023-08-04,2023-08-05,pH,EPA 9040,FIELD,6.19,SU,0.01,,,Pace Analytical,RS,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
SB-04-06-20230525-00814,SITE-04,Rail Yard - Kearny,SB-04-06,SOIL,40.767578,-74.144025,2023-05-25,2023-05-25,Tetrachloroethylene,EPA 8260,VOC,0.353,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-01-01-20231204-00815,SITE-01,Former Dry Cleaner - Newark,MW-01-01,GW,40.734478,-74.165228,2023-12-04,2023-12-12,Benzene,EPA 8260,VOC,3.38,ug/L,0.25,,5.0,Pace Analytical,TL,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20231016-00816,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2023-10-16,2023-10-28,Tetrachloroethylene,EPA 8260,VOC,0.698,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,False,False,False,12.0,False,False,PASS,WITHIN_LIMIT
SB-02-02-20250109-00817,SITE-02,Industrial Park - Elizabeth,SB-02-02,SOIL,40.658445,-74.209608,2025-01-09,2025-01-11,Mercury,EPA 7470,METAL,0.186,ug/L,0.1,,2.0,ALS Environmental,TL,False,False,False,2.0,False,False,PASS,WITHIN_LIMIT
SB-02-01-20231007-00818,SITE-02,Industrial Park - Elizabeth,SB-02-01,SOIL,40.670355,-74.211832,2023-10-07,2023-10-15,Tetrachloroethylene,EPA 8260,VOC,1.379,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
MW-01-04-20230107-00819,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2023-01-07,2023-02-24,Lead,EPA 6020,METAL,2.68,ug/L,0.75,,15.0,ALS Environmental,KP,False,False,False,48.0,False,False,PASS,WITHIN_LIMIT
